1 CAD = 0.69 EUR, 2023-04-02 5:33:12 PM
1 CAD = 2.86 TND, 2023-04-02 5:33:15 PM
1 EUR = 1.16 USD, 2023-04-02 5:59:02 PM
1 CAD = 0.59 GBP, 2023-04-04 10:06:00 AM
1 CAD = 0.69 EUR, 2023-04-04 10:06:05 AM
1 CAD = 0.69 EUR, 2023-04-04 10:06:06 AM
1 USD = 0.86 EUR, 2023-04-04 10:06:08 AM
200 USD = 250.00 CAD, 2023-04-04 10:34:33 PM
200 CAD = 571.43 TND, 2023-04-04 10:40:33 PM
1 CAD = 2.86 TND, 2023-04-05 6:19:15 PM
1 CAD = 0.69 EUR, 2023-04-05 6:19:26 PM
4 GBP = 19.43 TND, 2023-04-11 3:30:19 PM
1 CAD = 2.86 TND, 2023-04-17 1:12:26 AM
1 CAD = 0.59 GBP, 2024-03-27 7:00:35 PM
